Wavelength	1mm_blackTPU00000.asd
491	 0.156725208758113 
492	 0.824571465859806 
493	-0.050698270207609 
494	-1.49304226003125 
495	-1.4351287790283 
496	-1.92748436640726 
497	-1.16334101020709 
498	 1.29417432501114 
499	-0.857422557804247 
500	-1.74831528445568 
501	-0.403457508188782 
502	-2.32481784049904 
503	-2.57302904042483 
504	-1.18316328212584 
505	-0.223107236988031 
506	-1.01351726513856 
507	-1.67827701154411 
508	-0.845733674647873 
509	-0.648233761818363 
510	-0.893638489110806 
511	-1.17766915072369 
512	-0.796028069750235 
513	-8.53629506239851E-02 
514	 0.387005882924993 
515	 9.34874741449151E-04 
516	-0.291707570035953 
517	-1.19026187156144 
518	-2.61173744730394 
519	-0.265856993311211 
520	 0.379312648699695 
521	-1.67863205982818 
522	-0.780482694247375 
523	-1.08164193322898 
524	-1.93743493743718 
525	-0.846956614267008 
526	-0.494331645673706 
527	-0.682529813478441 
528	-0.8499341286636 
529	-1.31300878084356 
530	-1.06449417251572 
531	-0.11053728909959 
532	-9.01086270170108E-02 
533	-0.755690743879354 
534	-1.64381787747798 
535	-2.00740790756048 
536	-0.746752435882128 
537	 9.40689270034291E-03 
538	-1.37216296030962 
539	-1.25000767109729 
540	 0.221976637350819 
541	 1.81421888017893 
542	 0.277564296721634 
543	-0.948574980046811 
544	-1.40071183660679 
545	-2.20580055166733 
546	-1.29887669737231 
547	-0.104181177479713 
548	-0.292635172545602 
549	 0.148770483577371 
550	-0.479280670986643 
551	-2.25017275742508 
552	-1.22455796362437 
553	 0.179192557107482 
554	 0.745771617231045 
555	-9.74669821155368E-02 
556	-0.817197038669519 
557	-0.859372660811974 
558	-0.23004065807806 
559	-0.567173756534987 
560	-0.553528117320354 
561	 0.308972886882377 
562	-0.281863442650703 
563	-0.504589804899204 
564	-0.155997400931868 
565	-0.469670089953167 
566	-1.00003965459255 
567	-1.30803100771765 
568	-0.918939123812225 
569	 0.683053879721377 
570	 1.44682936339603 
571	 0.370961139644851 
572	 0.460272127182393 
573	 6.57524015803474E-02 
574	-0.97678398978203 
575	-1.10508284088588 
576	-0.418856457413796 
577	 0.528840240307076 
578	 0.896703016891388 
579	 0.22234898936811 
580	 1.14830393806601E-02 
581	 1.07409916160489 
582	 0.369835161968626 
583	-0.293989165027366 
584	 7.64061557895675E-02 
585	 1.52258711222923 
586	 0.732696534426232 
587	-1.55490009653398 
588	-2.32628959463304 
589	-0.621595813563861 
590	 1.02215789596509 
591	 0.338277429935168 
592	 0.512149347519163 
593	-5.34253771111785E-02 
594	-1.4898884666931 
595	-0.499700994740355 
596	 0.633508173008526 
597	 1.09395883976741 
598	 0.854004000061959 
599	 0.215812413243566 
600	-0.634071007295143 
601	-1.433518891766 
602	-1.3054501682039 
603	-1.06488830565134 
604	-1.01675163790812 
605	 0.317641036418805 
606	 0.761829439982018 
607	 0.135533476283986 
608	 4.57996979839968E-02 
609	-0.63958669228371 
610	-0.971893972590838 
611	 0.273588145745959 
612	 0.596248403512945 
613	 0.374403953541552 
614	 0.169230854392315 
615	-0.292323776098944 
616	 0.435277026282405 
617	 2.07984214282475 
618	 2.23655692690759 
619	 1.38822467809424 
620	 0.176140755125916 
621	-0.593671887617799 
622	-1.5788677514099 
623	-1.08607099342397 
624	 1.54232231303695 
625	 1.81173582453705 
626	 0.705885097772702 
627	-0.417703899275773 
628	 0.493292956254009 
629	 1.07178775452109 
630	 1.09238527600213 
631	 1.39496217281388 
632	 1.68401372157643 
633	 2.08264379217088 
634	 2.61376424819303 
635	 2.47187756245514 
636	 1.85295045042891 
637	 1.0810812443644 
638	 0.574073253193493 
639	 0.591898158698273 
640	 0.94652052949222 
641	 1.0770541511651 
642	 2.20035025305348 
643	 3.00381479476 
644	 2.02668793538139 
645	 2.00986174286075 
646	 2.03412315798417 
647	 1.56621595969252 
648	 2.05271864574434 
649	 2.14299594380909 
650	 1.86192896582407 
651	 2.60016903750937 
652	 2.24565970162365 
653	 1.45347953048185 
654	 1.65534386155362 
655	 1.5245003486227 
656	 1.17192220266912 
657	 0.964969124346613 
658	 1.4823334482095 
659	 2.3343887682936 
660	 3.01996080045433 
661	 2.76256909825298 
662	 2.97938610482165 
663	 3.36619396877955 
664	 2.9852641406989 
665	 3.4398742605371 
666	 3.66400558980206 
667	 2.78430986834792 
668	 2.39329345025233 
669	 2.94288008910068 
670	 3.96272069379569 
671	 3.21491524319205 
672	 4.30484352175686 
673	 5.7286429712486 
