Wavelength	reference_blackTPU00000.asd
672	 11158.429368834 
673	 11255.0128638459 
674	 11349.1642294231 
675	 11449.1209190831 
676	 11550.3632234507 
677	 11648.6883507913 
678	 11756.2220616753 
679	 11864.019226702 
680	 11967.9766939232 
681	 12075.1335727697 
682	 12183.7736922703 
683	 12292.9077264048 
684	 12401.685637867 
685	 12513.1316698232 
686	 12627.0525589332 
687	 12742.1601264349 
688	 12856.6390045068 
689	 12971.479992562 
690	 13087.221471555 
691	 13203.0647157305 
692	 13317.2350182542 
693	 13430.1800359162 
694	 13544.3412798103 
695	 13652.4710522165 
696	 13757.9486428146 
697	 13866.1076054704 
698	 13969.6478901074 
699	 14071.8077177908 
700	 14174.0141303683 
701	 14269.7316303975 
702	 14364.8365296393 
703	 14458.1972237788 
704	 14541.4621905729 
705	 14627.0058109932 
706	 14711.2356412528 
707	 14786.4021098744 
708	 14861.2788987397 
709	 14934.7824578085 
710	 15005.1203981984 
711	 15072.6193784454 
712	 15134.4776539228 
713	 15191.5590126493 
714	 15249.0692153639 
715	 15304.1041823904 
716	 15356.7882021504 
717	 15408.5198976204 
718	 15463.1359137341 
719	 15514.6664931531 
720	 15559.227866102 
721	 15604.2944952869 
722	 15645.8085916563 
723	 15684.6153854584 
724	 15728.1085552637 
725	 15769.9794678546 
726	 15812.5157954207 
727	 15860.1876832314 
728	 15900.7859333673 
729	 15939.7079658773 
730	 15981.8923342414 
731	 16019.9019946179 
732	 16062.0228859093 
733	 16108.3831222919 
734	 16148.0355436143 
735	 16184.9563497157 
736	 16221.0727746254 
737	 16257.212760489 
738	 16285.158446683 
739	 16309.0715161247 
740	 16333.1894842834 
741	 16353.8799172911 
742	 16375.411524434 
743	 16397.873072792 
744	 16415.4063006287 
745	 16433.5857870042 
746	 16449.7664702249 
747	 16458.9144303149 
748	 16472.2325896551 
749	 16484.0614926936 
750	 16489.3122756344 
751	 16494.6969703626 
752	 16496.3303773233 
753	 16494.4010054179 
754	 16494.7020275457 
755	 16493.5358750191 
756	 16488.4400601824 
757	 16476.9593135675 
758	 16455.8998893705 
759	 16422.4373966959 
760	 16382.3922799627 
761	 16368.5826527827 
762	 16360.2513289577 
763	 16348.0105729985 
764	 16335.4815820649 
765	 16322.9873706964 
766	 16307.4454582749 
767	 16284.7155487661 
768	 16255.2034968473 
769	 16224.2960482195 
770	 16195.3021598437 
771	 16163.9311934263 
772	 16130.9345722799 
773	 16096.3698342398 
774	 16059.600933309 
775	 16022.271383647 
776	 15984.1629666219 
777	 15944.6145626094 
778	 15905.6697315458 
779	 15861.8009841744 
780	 15811.0874857268 
781	 15761.8009882708 
782	 15714.2756606027 
783	 15665.0487802379 
784	 15607.0381841089 
785	 15552.4918490179 
786	 15497.6579951526 
787	 15436.9464475662 
788	 15382.8128594921 
789	 15326.0630556287 
790	 15263.5515968203 
791	 15208.55559029 
792	 15148.5813681072 
793	 15082.2291071485 
794	 15014.6287367975 
795	 14943.05249823 
796	 14872.1654438908 
797	 14806.2232881767 
798	 14741.4465518265 
799	 14674.7715662668 
800	 14605.3913485103 
801	 14535.6482305265 
802	 14466.3510927233 
803	 14398.5021252317 
804	 14332.6040374798 
805	 14264.0158629631 
806	 14193.9221292788 
807	 14122.9683929987 
808	 14045.9451835887 
809	 13971.1770845843 
810	 13899.8155873373 
811	 13825.1606202305 
812	 13753.1604738213 
813	 13680.8304678942 
814	 13603.7872362859 
815	 13529.434671182 
816	 13455.2377747458 
817	 13379.623391577 
818	 13305.5410423219 
819	 13230.4160825673 
820	 13153.3368362328 
821	 13074.3392042181 
822	 12990.5497441681 
823	 12907.0208850898 
824	 12828.6210721223 
825	 12751.2603368259 
826	 12676.2868369646 
827	 12603.6539939641 
828	 12531.4319196273 
829	 12455.7673596845 
830	 12374.1204085395 
831	 12284.7906770165 
832	 12185.7987573631 
833	 12086.6593740773 
834	 11994.4528759375 
835	 11905.8541111678 
836	 11825.8100676812 
837	 11755.6897630028 
838	 11693.9968253514 
839	 11642.5736343904 
840	 11594.8803683416 
841	 11542.8180588797 
842	 11482.4921643946 
843	 11413.6717348715 
844	 11339.4823537114 
845	 11267.8369932614 
846	 11196.496962686 
847	 11123.9099450602 
848	 11048.9217873754 
849	 10975.794135613 
850	 10901.0159680793 
851	 10823.8186417899 
852	 10753.3393484954 
853	 10682.0060993501 
854	 10609.8877316055 
855	 10542.2804981183 
856	 10471.4370789346 
857	 10399.8896683756 
858	 10330.4757141198 
859	 10256.846517308 
860	 10184.5851608022 
861	 10114.963810494 
862	 10043.3300857798 
863	 9973.83024908975 
864	 9904.66541776924 
865	 9833.14805225105 
866	 9765.31041510664 
867	 9697.46453438846 
868	 9627.88571591074 
869	 9560.72709372655 
870	 9491.73487006381 
871	 9422.39111898371 
872	 9356.74782694123 
873	 9291.92124563012 
874	 9224.79976406858 
875	 9154.17062100073 
876	 9083.96461615241 
877	 9013.27434771862 
878	 8943.25389455105 
879	 8876.54154340039 
880	 8809.24407437858 
881	 8742.64641049758 
882	 8678.15440461654 
883	 8612.18292223949 
884	 8550.42181863902 
885	 8491.14578048615 
886	 8423.61870726957 
887	 8356.88190106258 
888	 8291.30811112139 
889	 8225.24914309284 
890	 8160.84904107063 
891	 8096.0683094714 
892	 8030.2378667711 
893	 7965.19267662214 
894	 7900.61860185441 
895	 7835.5567395931 
896	 7769.13888864503 
897	 7703.91165723959 
898	 7638.61389652961 
899	 7572.96283413397 
900	 7509.52175429409 
901	 7446.56849793524 
902	 7383.92490470072 
903	 7321.98088934463 
904	 7259.95475393931 
905	 7197.42576241441 
906	 7134.84298774476 
907	 7074.96877682685 
908	 7013.31973271791 
909	 6949.05714130358 
910	 6883.80049071697 
911	 6821.43635143463 
912	 6759.25728469051 
913	 6695.45370342319 
914	 6633.70552627586 
915	 6573.12881035631 
916	 6512.68581101925 
917	 6451.27794941308 
918	 6390.73756958218 
919	 6329.9481163401 
920	 6268.30276418032 
921	 6208.60354632983 
922	 6146.47450297563 
923	 6082.86720094337 
924	 6022.58440719114 
925	 5964.74437895007 
926	 5907.96019789613 
927	 5850.64093417883 
928	 5791.35298028548 
929	 5730.04528344876 
930	 5666.93945241661 
931	 5602.6908120322 
932	 5541.26801017868 
933	 5478.66512485855 
934	 5412.88828819856 
935	 5352.54341308191 
936	 5294.31809307984 
937	 5236.77976923073 
938	 5179.72053728819 
939	 5122.45501731236 
940	 5064.47907645928 
941	 5006.0072798136 
942	 4949.0683938759 
943	 4891.91803387007 
944	 4834.73132274638 
945	 4778.70307309661 
946	 4721.06097728985 
947	 4665.10882368052 
948	 4612.50975736472 
949	 4558.59051604666 
950	 4505.35709890613 
951	 4452.55524873938 
952	 4399.04498588 
