Wavelength	reference_whiteABS00000.asd
470	 1485.76668301528 
471	 1509.65829495913 
472	 1534.41274617008 
473	 1559.39431823698 
474	 1585.39294129077 
475	 1613.80531247183 
476	 1643.33618575389 
477	 1672.58258468925 
478	 1701.16028392254 
479	 1732.14194264354 
480	 1764.92744767555 
481	 1798.89298018837 
482	 1833.48984841578 
483	 1867.93020901916 
484	 1902.96949585703 
485	 1939.99208449388 
486	 1977.84090216449 
487	 2017.5821661686 
488	 2059.73377032239 
489	 2101.77393887854 
490	 2145.54325296502 
491	 2191.73043003939 
492	 2239.68664748869 
493	 2287.47504807285 
494	 2335.42987080705 
495	 2385.06311582768 
496	 2438.53398977554 
497	 2491.79370066853 
498	 2542.4920956357 
499	 2597.04384865474 
500	 2653.10322837311 
501	 2709.70565838694 
502	 2767.73195461434 
503	 2825.47300614526 
504	 2884.00696880898 
505	 2945.23704529514 
506	 3005.68818906811 
507	 3066.16620289607 
508	 3127.90472212447 
509	 3190.90647532901 
510	 3256.71548144522 
511	 3324.83053094451 
512	 3391.83251194072 
513	 3461.05498040744 
514	 3532.30923110109 
515	 3604.0530742999 
516	 3677.42906430585 
517	 3750.78676963919 
518	 3822.99590623409 
519	 3895.89682907874 
520	 3971.61008174613 
521	 4049.62717726944 
522	 4125.44100690367 
523	 4203.36582170535 
524	 4282.45698560661 
525	 4359.67980332957 
526	 4438.11207356136 
527	 4518.69490084214 
528	 4600.59119579599 
529	 4677.25588004298 
530	 4755.88169821893 
531	 4838.34329474211 
532	 4917.68928354982 
533	 4995.8101287215 
534	 5073.68044830336 
535	 5152.12553251426 
536	 5229.79875671544 
537	 5305.57729725982 
538	 5379.16874661654 
539	 5453.39583270616 
540	 5528.17571547371 
541	 5602.58471231853 
542	 5674.20470985506 
543	 5745.34265471739 
544	 5815.68134533172 
545	 5883.53132634087 
546	 5953.13324025701 
547	 6023.2446820047 
548	 6091.56009908316 
549	 6158.14392910824 
550	 6222.9813696686 
551	 6286.37053520889 
552	 6349.37930487337 
553	 6410.31389611122 
554	 6469.75661961188 
555	 6529.97621036874 
556	 6587.14020555264 
557	 6641.47461949797 
558	 6693.94475677375 
559	 6742.01711242267 
560	 6788.10693868504 
561	 6833.37770116438 
562	 6875.85261504053 
563	 6909.1525985816 
564	 6934.05482964014 
565	 6958.36622055214 
566	 6975.528097441 
567	 6984.6821651314 
568	 6987.09340824201 
569	 6985.99469781845 
570	 6977.71895828108 
571	 6962.09829677089 
572	 6952.79743162932 
573	 6937.59688704724 
574	 6913.81022074096 
575	 6889.97539779198 
576	 6860.69909453028 
577	 6824.9046883738 
578	 6783.2743936619 
579	 6737.90891567004 
580	 6689.85137931638 
581	 6640.78113090915 
582	 6594.51081571341 
583	 6556.62938345916 
584	 6525.15900920718 
585	 6486.07697478848 
586	 6447.03236764874 
587	 6408.23141420789 
588	 6367.19760905753 
589	 6331.53505972367 
590	 6300.66822676816 
591	 6274.08846224244 
592	 6261.22123185479 
593	 6253.8261394334 
594	 6246.09444058428 
595	 6236.25717403253 
596	 6237.06105602318 
