Wavelength	4mm_whiteABS00000.asd
545	 638.690505789641 
546	 648.659910504311 
547	 658.71313700036 
548	 669.350032304209 
549	 679.8913469397 
550	 689.600294442332 
551	 698.390176656812 
552	 707.477410415112 
553	 716.38667660295 
554	 725.136246875677 
555	 734.05992997307 
556	 743.589666982537 
557	 752.940275973693 
558	 761.133411371664 
559	 768.409024357289 
560	 776.268543196418 
561	 785.041231424759 
562	 792.065721911404 
563	 797.678874386366 
564	 802.417754053267 
565	 807.167018293986 
566	 811.233905174703 
567	 814.518024139453 
568	 817.134536094034 
569	 819.611658007194 
570	 820.442786131279 
571	 819.505930355359 
572	 821.831355101082 
573	 822.487142584652 
574	 820.598408543559 
575	 820.080873287481 
576	 818.870472614905 
577	 816.552388169052 
578	 813.313608069229 
579	 809.869783514495 
580	 805.303013001278 
581	 799.666667021776 
582	 797.621049014554 
583	 796.340486061583 
584	 794.130459270925 
585	 791.126153148 
586	 786.497305201825 
587	 781.741243307089 
588	 779.509433032945 
589	 776.617309821677 
590	 773.829599346997 
591	 772.633588931898 
592	 774.063640053293 
593	 775.585611144992 
594	 775.818334052804 
595	 775.451357388946 
596	 776.279486233292 
597	 779.740155584309 
598	 786.964662510189 
599	 792.738183809249 
600	 797.530871228402 
601	 803.302860595249 
602	 810.574521676655 
603	 817.018237807613 
604	 821.934377726331 
605	 829.171339309253 
606	 835.770148175595 
607	 842.295078245841 
608	 852.495551812852 
609	 864.325270721655 
610	 876.883922414277 
611	 889.559022331782 
612	 902.28042827845 
613	 914.376339809972 
614	 925.793624627156 
615	 938.594644138247 
616	 950.802195994957 
617	 961.553642277436 
618	 971.056843866876 
619	 982.383645672379 
620	 994.739995894432 
621	 1005.72379502402 
622	 1017.11063000773 
623	 1028.44775228431 
624	 1039.51506030552 
625	 1052.66449089836 
626	 1064.71079338232 
627	 1074.92715281426 
628	 1086.77661523168 
629	 1098.42872429949 
630	 1109.30437319589 
631	 1119.36785033152 
632	 1130.11928437452 
633	 1140.1321093732 
634	 1148.01754543032 
635	 1155.96610139496 
636	 1164.2450329693 
637	 1172.64232021132 
638	 1180.10635918318 
639	 1188.1473761971 
640	 1196.65786224434 
641	 1204.37494024838 
642	 1212.96832161556 
643	 1222.03546332557 
644	 1230.83459511135 
645	 1240.71220914951 
646	 1250.22183402463 
647	 1258.79504856799 
648	 1268.84528418913 
649	 1278.14185646148 
650	 1286.60439221792 
651	 1296.17783285733 
652	 1307.05808218085 
653	 1318.45665064783 
654	 1329.2210080818 
655	 1339.52318427755 
656	 1350.54707330045 
657	 1362.91248059008 
658	 1375.11434639801 
659	 1387.55083026422 
660	 1400.12969820987 
661	 1412.05222485834 
662	 1424.36950316623 
663	 1437.20871159853 
664	 1450.25503222507 
665	 1462.86228591174 
666	 1475.39733089212 
667	 1488.4786719197 
668	 1503.13330716166 
669	 1516.97540795758 
670	 1529.56457858075 
671	 1543.78064946865 
672	 1557.71077399181 
673	 1571.94873276898 
674	 1588.29005836054 
675	 1605.70888511285 
676	 1622.53472785377 
677	 1637.96117718569 
678	 1656.22015688805 
679	 1674.02372686023 
680	 1690.09282605951 
681	 1707.83737739243 
682	 1725.07025568823 
683	 1742.13709086579 
684	 1760.95595234106 
685	 1779.52249030606 
686	 1797.98925035193 
687	 1817.02301000188 
688	 1837.00881367018 
689	 1856.25046351426 
690	 1874.26601917946 
691	 1893.81814624275 
692	 1912.39129641576 
693	 1930.1116046363 
694	 1949.25413646173 
695	 1966.27270512547 
696	 1983.45207842951 
697	 2003.63206641817 
698	 2019.5457422827 
699	 2035.10133682346 
700	 2052.82192181685 
701	 2068.58812761805 
702	 2083.39057231195 
703	 2098.2243347331 
704	 2114.36186062931 
705	 2128.82281709686 
706	 2141.13194707168 
707	 2152.14101781761 
708	 2165.6633782848 
709	 2178.73267272812 
710	 2189.20845145543 
711	 2199.95752492276 
712	 2210.41884486279 
713	 2220.69447267946 
714	 2231.62861407577 
715	 2243.19224498918 
716	 2254.40184118497 
717	 2264.28436390875 
718	 2276.94234747409 
719	 2289.06129198931 
720	 2298.41101626233 
721	 2309.8740394756 
722	 2320.60823137968 
723	 2329.99326564714 
724	 2340.27662056569 
725	 2349.19073815683 
726	 2357.92031891531 
727	 2368.56952774367 
728	 2376.10258621635 
729	 2383.46681062634 
730	 2393.04437350929 
731	 2400.64104738474 
732	 2409.50771070053 
733	 2419.99233084229 
734	 2428.50670885259 
735	 2436.28376782086 
736	 2443.86895513035 
737	 2451.50403767584 
738	 2457.10742501581 
739	 2462.4205117583 
740	 2468.92884706404 
741	 2475.08838490107 
742	 2480.56478294654 
743	 2485.39702135263 
744	 2490.08034485885 
745	 2494.86353417517 
746	 2499.01443629696 
747	 2501.57622998539 
748	 2505.13823674636 
