Wavelength	Reference_WhitePLA00000.asd
527	 4652.67890897175 
528	 4735.16179508322 
529	 4815.87185034355 
530	 4897.16756951639 
531	 4979.69511096042 
532	 5061.38021256514 
533	 5142.26509127055 
534	 5222.02926924093 
535	 5300.45525853698 
536	 5381.11621184196 
537	 5460.22494118731 
538	 5534.49591916028 
539	 5609.81711343541 
540	 5686.53112653282 
541	 5763.36581486502 
542	 5836.22040306247 
543	 5909.18075941227 
544	 5982.10458382726 
545	 6052.52058305839 
546	 6123.24844010813 
547	 6193.84541022419 
548	 6263.17714673399 
549	 6330.87744644493 
550	 6397.79360706152 
551	 6463.83854764523 
552	 6526.49266160366 
553	 6588.92490073018 
554	 6651.36181927118 
555	 6711.91005641023 
556	 6769.58738236095 
557	 6824.37173930521 
558	 6876.68330144986 
559	 6926.77326347891 
560	 6976.72437364978 
561	 7025.45697163855 
562	 7063.61982495452 
563	 7096.75530680304 
564	 7125.57144013529 
565	 7146.56099178209 
566	 7164.03539057436 
567	 7175.86387425207 
568	 7178.53267558781 
569	 7177.1230976144 
570	 7168.61452923234 
571	 7152.73760836089 
572	 7140.83151834118 
573	 7124.10891225777 
574	 7100.43364888832 
575	 7075.62050533207 
576	 7042.70066929604 
577	 7003.9737177679 
578	 6964.79666731159 
579	 6916.88240602316 
580	 6865.35339274176 
581	 6816.04966693597 
582	 6767.90097988635 
583	 6728.6951746197 
584	 6696.97451065021 
585	 6656.39656318574 
586	 6616.43956614547 
587	 6577.01746219835 
588	 6534.41493630315 
589	 6497.60783852317 
590	 6466.49484698773 
591	 6440.21795599863 
592	 6424.94151043943 
593	 6414.96419211118 
594	 6406.37220138058 
595	 6398.09782079102 
596	 6399.51631116559 
597	 6414.89714116527 
598	 6444.96620744126 
599	 6476.81884324714 
600	 6508.27484745846 
601	 6541.15407194841 
602	 6581.29709872735 
603	 6620.11821637369 
604	 6653.86084925434 
605	 6692.54935542825 
606	 6733.13116686963 
607	 6779.81651363749 
608	 6843.55281930655 
609	 6920.40816752267 
610	 7008.17815969139 
611	 7103.53671278655 
612	 7196.01769610666 
613	 7285.71004602281 
614	 7372.41361940818 
615	 7449.08953544216 
616	 7523.28686419593 
617	 7597.41829652963 
618	 7667.4310684331 
