Wavelength	1mm_blackPC00000.asd
509	 0.674530778034448 
510	 1.49103907047456 
511	 0.489455288001957 
512	-0.972423857546863 
513	-1.21064351762862 
514	-0.568320793401618 
515	-0.344713159075733 
516	 9.71987898873957E-02 
517	-2.28067780613098E-02 
518	-1.0688443255161 
519	-1.37130679049997 
520	-0.405708202748569 
521	 0.759278323445022 
522	-1.71063754450672 
523	-1.43018704279602 
524	 0.431796657805272 
525	-0.521804213371557 
526	-0.333606620837588 
527	 0.119957656363013 
528	-0.33206952198398 
529	-0.692637014613184 
530	-0.21495830995111 
531	 0.927634015218802 
532	 1.08292043853836 
533	 1.08201086922858 
534	 0.802217379374825 
535	-0.262502834167622 
536	-1.88138851073733 
537	-2.07247564633812 
538	 0.289778904928401 
539	 1.25764428860858 
540	 0.94579714207595 
541	-0.102610533530852 
542	-1.14007398969338 
543	-0.655292345934315 
544	 0.675910684797955 
545	 0.7310647533699 
546	 0.924630950905995 
547	 0.951938183334068 
548	 0.362172605377637 
549	-0.12461153903534 
550	-9.83845667642334E-02 
551	 0.441816773349576 
552	 0.687013753012589 
553	 1.5330544492562 
554	 1.8243691388776 
555	-1.13968370164533 
556	-1.17419560553412 
557	 0.243089799876584 
558	 7.58040258914382E-02 
559	 1.12943898859799 
560	 1.63524394934642 
561	 0.597156404604694 
562	-0.27619225317421 
563	-1.04629183217102 
564	-1.14248675295966 
565	 0.652050938095176 
566	 1.41898479278813 
567	 1.18619403236772 
568	 1.0176716248302 
569	 1.30068186836865 
570	 1.15381267830071 
571	 0.219820789357624 
572	 0.115599658829593 
573	 0.722031296702656 
574	 1.5906211688784 
575	 1.79640966732468 
576	 2.18069130848589 
577	 1.91314822996475 
578	-0.110002607576928 
579	 0.482296986803247 
580	 1.39360083019765 
581	 0.530691178346107 
582	 0.950073897606002 
583	 0.835871938445835 
584	-0.116086705854334 
585	 0.272999147236773 
586	 0.889775434389531 
587	 1.25475438215035 
588	 1.16318858566326 
589	 2.08548394609366 
590	 2.80396335175127 
591	 2.03871549611237 
