Wavelength	reference_blackPC00000.asd
596	 6300.62575947455 
597	 6316.47056969834 
598	 6346.79298306233 
599	 6379.19229671881 
600	 6410.66195172088 
601	 6442.26619964546 
602	 6481.70005906864 
603	 6519.85050108894 
604	 6552.43540439487 
605	 6589.22844009869 
606	 6628.91150775675 
607	 6676.01387901405 
608	 6740.59141822255 
609	 6815.50957694052 
610	 6900.71782225491 
611	 6996.28247735264 
612	 7087.25612383362 
613	 7175.5972832226 
614	 7262.20384494314 
615	 7336.17444865651 
616	 7408.30829117046 
617	 7482.44301666011 
618	 7554.11365724898 
619	 7627.71362623599 
620	 7703.7753732007 
621	 7781.12773015684 
622	 7858.40933566644 
623	 7936.84396589107 
624	 8017.50334998669 
625	 8099.60514406326 
626	 8179.25489641511 
627	 8255.42280804466 
628	 8332.0662739951 
629	 8404.42510639158 
630	 8471.14302918123 
631	 8532.74608215874 
632	 8593.30560611761 
633	 8650.77901980645 
634	 8702.98169951754 
635	 8754.41821024802 
636	 8805.38969535056 
637	 8854.96027874011 
638	 8899.75359730468 
639	 8944.32451376727 
640	 8990.38563965966 
641	 9037.83642488144 
642	 9089.57536723638 
643	 9142.19459734963 
644	 9191.92776201785 
645	 9246.25825176654 
646	 9301.77958029482 
647	 9356.57105550833 
648	 9415.5998253845 
649	 9472.75960429971 
650	 9528.80772232483 
651	 9591.32753788006 
652	 9653.72646156409 
653	 9719.14608880598 
654	 9792.50077368126 
655	 9862.9526302958 
656	 9931.01484389683 
657	 9999.13023640017 
658	 10070.0352981852 
659	 10143.9571935028 
660	 10220.2291390281 
661	 10296.820580092 
662	 10377.1258335147 
663	 10458.7963256952 
664	 10537.2053208121 
665	 10614.6998436819 
666	 10694.677848557 
667	 10779.1387819812 
668	 10863.6621721139 
669	 10951.8627002781 
670	 11043.9090273619 
671	 11133.4484377342 
672	 11228.2477541174 
673	 11326.4890775187 
674	 11421.5846184761 
675	 11521.2880409773 
676	 11622.5928654602 
677	 11722.6522867617 
678	 11832.0037864517 
679	 11939.0166403316 
680	 12040.4170368773 
681	 12151.7956920987 
682	 12262.1165774709 
683	 12370.0380374924 
684	 12480.0917441991 
685	 12592.5255303251 
686	 12707.6564534851 
687	 12824.6790533403 
688	 12937.1925366114 
689	 13050.8942287817 
690	 13168.8783770103 
691	 13286.8922368723 
692	 13401.5022776763 
693	 13513.6734523164 
694	 13628.4076695868 
695	 13736.6977083537 
696	 13842.7785942652 
697	 13953.1204809998 
698	 14057.9639747063 
699	 14161.2435376108 
700	 14264.077552172 
701	 14355.0942026989 
702	 14448.9047354424 
703	 14545.6279601375 
704	 14630.928862513 
705	 14717.5662171768 
706	 14802.6755733767 
707	 14879.3412231177 
708	 14954.5178899999 
709	 15026.6103775079 
710	 15094.4424410953 
711	 15161.3104787902 
712	 15225.5774358776 
713	 15286.1526960772 
714	 15342.287164477 
715	 15397.3391352952 
716	 15450.7708994812 
717	 15501.1246234227 
718	 15554.7847079499 
