Wavelength	4mm_blackPETG00000.asd
582	-2.76638691334833 
583	-2.24028935739266 
584	-1.34397791976364 
585	-3.51868778753139 
586	-3.61202524757919 
587	-2.11624353338048 
588	-2.3323243992562 
589	-2.78046622297143 
590	-2.70648716210356 
591	-1.92558084797312 
592	-2.40750289621416 
593	-3.08539717878545 
594	-3.22370953179741 
595	-2.73876780064119 
596	-3.69991525548481 
597	-4.75146543652545 
598	-2.16553679740108 
599	-1.80266315702065 
600	-2.94515020823153 
601	-3.3136740628806 
602	-2.89691226835489 
603	-2.32320204378532 
604	-2.09246784564922 
605	-2.23524197826807 
606	-2.84324786431537 
607	-3.52853468822998 
608	-3.40718786819273 
609	-3.32705915320206 
610	-2.90981719487167 
611	-1.6324338481662 
612	-1.20480876946481 
613	-1.43605471085784 
614	-1.94064792173871 
615	-2.62653958273732 
616	-3.38158337839925 
617	-3.72259467951637 
618	-2.54480747075574 
619	-1.82239507085777 
620	-1.85437904445906 
621	-2.22669492786218 
622	-3.09602870563361 
623	-3.55061193300576 
624	-3.05736572049868 
625	-3.0864693862959 
626	-3.49086758423285 
627	-3.73876961647499 
628	-2.36042233746884 
629	-2.85783134889367 
630	-4.42025064243489 
631	-3.90007571197672 
632	-3.2218373241353 
633	-2.73241647726495 
634	-2.55154345434494 
635	-3.38642684390867 
636	-3.68590877463014 
637	-3.08674045852602 
638	-4.09626723127864 
639	-3.87050811962835 
640	-2.22994089073523 
641	-0.881385960138176 
642	-1.74680679253454 
643	-3.03406695098132 
644	-2.46377525367147 
645	-3.21169301809226 
646	-3.48376171781547 
647	-2.24657989887957 
648	-1.26564476482854 
649	-1.76044916557235 
650	-2.8089921808611 
651	-1.08851636927939 
652	-2.70707259500063 
653	-4.70086967980711 
654	-1.92575300084384 
655	-1.71351855226704 
656	-3.21760511046016 
657	-4.38005170963911 
658	-2.71379161464625 
659	-2.03002839266583 
660	-2.97459580624286 
661	-2.09239967107439 
662	-1.71069594958701 
663	-2.08102419576912 
664	-2.70494984493407 
665	-4.53818476623238 
666	-5.09583994019194 
667	-2.99555099280947 
668	-3.45357152955225 
669	-3.36738248897729 
670	-2.02953617316686 
671	-3.14417154540744 
672	-3.55619857408405 
673	-3.32015720134131 
674	-3.96555212045929 
675	-2.53198284606405 
676	-1.24651095777135 
677	-2.20562592450873 
678	-0.730893052227518 
679	-1.22488150416813 
680	-4.46288960471888 
681	-3.05584855750452 
682	-1.3720325460696 
683	-1.50206595094439 
684	-4.36765764851727 
