Wavelength	reference_blackPETG00000.asd
733	 16129.5800448418 
734	 16169.7602818214 
735	 16207.0128746733 
736	 16242.6416750864 
737	 16277.0574370287 
738	 16304.8598241927 
739	 16329.2334579599 
740	 16353.3077336725 
741	 16374.1510994372 
742	 16397.1468245186 
743	 16421.0206244679 
744	 16434.59332178 
745	 16452.0863491305 
746	 16470.136540441 
747	 16479.158302929 
748	 16491.9835913511 
749	 16503.5558944254 
750	 16508.9812542088 
751	 16514.0111155878 
752	 16516.1849658143 
753	 16515.5991230864 
754	 16515.998299686 
755	 16513.4804278148 
756	 16506.2240934574 
757	 16493.034444303 
758	 16472.6110559928 
759	 16439.8188411295 
760	 16399.2719046776 
761	 16388.9125038962 
762	 16381.2190999377 
763	 16366.4532955372 
764	 16355.7782728135 
765	 16342.210399537 
766	 16324.5246181316 
767	 16303.1796731226 
768	 16274.8929199249 
769	 16243.6462156964 
770	 16212.5037770695 
771	 16178.899232403 
772	 16145.4972447804 
773	 16111.9662001222 
774	 16074.7833572379 
775	 16038.8947455137 
776	 16002.7584907987 
777	 15962.9861627196 
778	 15920.6552494753 
779	 15874.0428398236 
780	 15823.6367994728 
781	 15776.0164301885 
782	 15728.1648681367 
783	 15677.7232025174 
784	 15622.5525738602 
785	 15565.5116911597 
786	 15508.0343228902 
787	 15451.1242601745 
788	 15396.0899961063 
789	 15337.9635404867 
790	 15276.2440873195 
791	 15221.4353391882 
792	 15161.5147888208 
793	 15094.5847770897 
794	 15024.9813844915 
795	 14955.6376939541 
796	 14886.4804199103 
797	 14817.3959617412 
798	 14752.5914400211 
799	 14686.8955173149 
800	 14617.8329605976 
801	 14547.2727213405 
802	 14476.1539299035 
803	 14406.8941242245 
804	 14341.8160811284 
805	 14273.964684649 
806	 14204.1893138896 
807	 14133.3363274923 
808	 14057.1898125555 
809	 13982.1178838407 
810	 13909.2240347633 
811	 13833.8434193494 
812	 13760.9533906832 
813	 13688.2113978319 
814	 13611.9783799331 
815	 13537.8429923545 
816	 13462.2768899921 
817	 13384.8409648149 
818	 13315.076435872 
