Wavelength	2mm_blackPA00000.asd
1059	-1.57659802905325 
1060	-4.47675748476641 
1061	-4.60862598818226 
1062	-3.11326138274608 
1063	-3.85419823647532 
1064	-5.03813641050318 
1065	-1.27545929286372 
1066	-1.68483388997472 
1067	-4.52542829672503 
1068	-1.27271248334973 
1069	-4.32703318719048E-02 
1070	-2.13494497292328 
1071	 4.57044846402622E-02 
1072	 1.69268505662272 
1073	 1.21852290477435 
1074	-0.211294805405361 
1075	-2.86153797403872 
1076	-3.13183491876088 
1077	-4.57141277078975 
1078	-5.05217278853053 
1079	-1.57609472402833 
1080	-0.423341878586594 
1081	-0.466942617958056 
1082	-1.48371537181895 
1083	-3.91560641560479 
1084	-5.24995517385535 
1085	-5.10956974080252 
1086	-5.95135996042975 
1087	-3.13405815698136 
1088	 1.07696668616631 
1089	 0.560680661333477 
1090	 0.517592511498446 
1091	-0.561977262442924 
1092	-5.10920605791223 
1093	-5.16724887981965 
1094	-2.59495623257249 
1095	-2.35501399476406 
1096	 4.11168577895474E-02 
1097	 0.686930213364785 
1098	-2.480736374092 
1099	-2.77652232067686 
1100	-0.923601841368137 
1101	-0.711289426539515 
1102	-0.598545228132936 
1103	-0.636798869569932 
1104	-2.33280303374389 
1105	-2.35181267141923 
1106	-0.595542688271942 
1107	 0.338200190619749 
1108	 2.1005475468982 
1109	 5.71258752797795 
1110	 5.6820665725952 
1111	 2.89673938426577 
1112	 2.70635607981672 
1113	 2.01206599158931 
1114	 1.00713623333157 
1115	 1.79543773926624 
1116	 1.26459443926705 
1117	-1.95657662887026 
1118	-2.86317949977102 
1119	-2.2854029967411 
1120	-2.04764482218116 
1121	-0.264316642847043 
1122	-0.355701232479253 
1123	-2.52665833667716 
1124	-3.04036121725837 
1125	-3.83654675290203 
1126	-4.52261952236342 
1127	-3.2200186135131 
1128	 1.08236679087379 
1129	 1.19180924777965 
1130	 0.78992982824589 
1131	-0.314344496273659 
1132	-4.79507122975389 
1133	-5.56590242652057 
1134	-4.42628983892927 
1135	-4.42055557239488 
1136	-2.19339104042688 
1137	-3.4080958908144 
1138	-9.50571956849125 
1139	-10.0107874897971 
1140	-8.37375701210276 
1141	-8.16691820447991 
1142	-3.71811884136008 
1143	-2.72074323414044 
1144	-8.25951533988779 
1145	-8.75446729380486 
1146	-5.83562126417071 
1147	-4.64267136050474 
1148	-3.08005497438471 
1149	 1.15026834178944 
1150	 2.08600228607753 
1151	-0.173006580325935 
1152	 0.64148843847525 
1153	 3.10197848256465 
1154	 3.02736062497598 
1155	 2.8549445465191 
1156	 2.12206793566654 
1157	-1.90129551889269 
1158	-2.25545727908265 
1159	 0.231642225740567 
1160	 0.532560243825623 
1161	 1.29794914149043 
1162	 1.63440951619099 
1163	 0.638086000268605 
1164	-0.103635106677545 
1165	-0.154616840093757 
1166	-0.775893252562389 
1167	-3.07475105565096 
1168	-4.0380419037538 
1169	-2.35376966389714 
1170	-2.40279505596903 
1171	-2.31398808717317 
1172	-0.894008135624475 
1173	-1.38930469394688 
1174	-4.09340631026919 
1175	-4.80163288268415 
1176	-5.0492119017628 
1177	-5.59420056201848 
1178	-5.85219792236229 
1179	-5.97716195606326 
1180	-5.38943479038288 
1181	-6.58907999221904 
1182	-9.16987905374736 
1183	-9.97676324828987 
1184	-12.4162446909267 
1185	-12.2671986251903 
1186	-7.07333644816837 
1187	-5.97452631448259 
1188	-7.36395802141855 
1189	-6.96766295697117 
1190	-6.38294138020567 
1191	-7.68616273495674 
1192	-9.95888224895566 
1193	-8.97697749198452 
1194	-9.31639498148807 
1195	-10.6217817585008 
1196	-8.19789102532349 
1197	-1.16136476422186 
1198	 2.08433021415119 
1199	 6.74551496953434 
1200	 7.39483720884246 
1201	 5.14545031987968 
1202	 2.38034647548553 
1203	-4.19809637594217 
1204	-7.12683122655135 
1205	-9.9407292909814 
1206	-10.985613366116 
1207	-8.89254629148869 
1208	-8.18207727742436 
1209	-7.09743469172117 
1210	-6.1661789873666 
1211	-4.32054248648263 
1212	-5.50376094246149 
1213	-6.35610817331272 
1214	-5.64635324350814 
1215	-5.32296040858327 
1216	-6.44866256383713 
1217	-5.40105708165985 
1218	-3.9919210741585 
1219	-2.78229360084206 
1220	-0.519615114664737 
1221	 0.499899999512724 
1222	 1.27458393254924 
1223	 0.833521325426017 
1224	-1.69828828595765 
1225	-1.10117579866439 
1226	 0.348978981440224 
1227	 1.83525159537617 
1228	 6.48452529054993 
1229	 6.6198738710126 
1230	 3.80556203619479 
1231	 1.96008296779069 
1232	-2.40403229152125 
1233	-3.99306560219704 
1234	-3.18326551247523 
1235	-3.04692339646532 
1236	-1.6560721374023 
1237	-2.80609380962855 
1238	-1.93645829363257 
1239	-4.28017363060933 
1240	-8.36790262225927 
1241	-6.72085507132881 
1242	-5.88653310765642 
1243	-5.45563774394323 
1244	-2.18431318094089 
1245	-0.854074268956291 
1246	-1.37253385637418 
1247	-0.463163343366019 
1248	 0.418846204010647 
1249	-1.29306971153463 
1250	-2.00494276234709 
1251	-2.52856056697406 
1252	-2.38741169212599 
1253	-2.02853628041001 
1254	-1.1816411065599 
1255	 0.834463159132567 
1256	 0.862258326688509 
1257	 4.61616182365886E-02 
1258	-0.47189967104751 
1259	-2.31390286363926 
1260	-2.11874159751699 
1261	 0.11248593543054 
1262	 5.36651829325762E-02 
1263	-1.08400319894173 
1264	-2.43735384638744 
1265	-4.40405255545228 
1266	-7.4101508753586 
1267	-9.19747770795105 
1268	-7.48011014899507 
1269	-3.66721744907119 
1270	 0.153198503238125 
1271	 3.81913303747964 
1272	 6.39138259993228 
1273	 5.74291920838199 
1274	 4.2861659148596 
1275	 2.88512587247913 
1276	-4.62929349717695E-03 
1277	-2.23246172468456 
1278	-4.48052691919841 
1279	-5.52739062385226 
1280	-4.49888140231754 
1281	-3.79918953582195 
1282	-1.94101767950123 
1283	-1.95766231094717 
1284	-4.25350082511749 
1285	-4.74883162197178 
1286	-4.64490974948977 
1287	-4.94535390419946 
1288	-4.94026959036882 
1289	-2.72549699596908 
1290	-3.47813851891226 
1291	-5.00065983354987 
1292	-1.69938604986899 
1293	 1.46053216474606 
1294	 3.74071606344414 
1295	 5.72467985910303 
1296	 2.87606625309363 
1297	-1.24681563761492 
1298	-4.58987283299719 
1299	-6.05793695074933 
1300	-4.09979705675379 
1301	-1.98568332618822 
1302	 0.816007062062345 
1303	 1.83852271202176 
1304	 1.36112161286859 
1305	 0.34602475491766 
1306	-1.53038646265506 
1307	-2.64974885472859 
1308	-4.45345115962984 
1309	-3.77838703881128 
1310	-2.74568121334216 
1311	-3.44314041870667 
1312	-3.0373514357457 
1313	-2.87021240843423 
1314	-2.70886317499625 
1315	-1.94086000638497 
1316	-1.0329965535325 
1317	 1.3812699563133 
1318	 1.16900044966153 
1319	-1.70150132042845 
1320	 5.94811538051209E-02 
1321	-4.98542565192768E-02 
1322	-3.41621073708023 
1323	-1.00363248852437 
1324	-1.45823471636298 
1325	-5.16738431272783 
1326	-5.6184927935694 
1327	-6.25577267424682 
1328	-9.25829390301137 
1329	-8.64085234100559 
1330	-5.62225872465547 
1331	-4.81419035780703 
1332	-3.52515127900813 
1333	-2.95947181600538 
1334	-3.18744311042323 
1335	-3.35254634656639 
1336	-3.34831907472711 
1337	-2.00108738740969 
1338	-1.93655958766167 
1339	-3.31396776700848 
1340	-3.5102623726603 
1341	-3.90546696326684 
1342	-4.13198217856824 
1343	-2.90429496096115 
1344	-1.41665054710742 
1345	-0.698048015096011 
1346	-1.50210853025895 
1347	-1.48104178655134 
1348	-1.66234787188504 
1349	-1.66487800544337 
1350	-0.309760349069826 
1351	-0.058332163276875 
1352	-1.37835260391548 
1353	-0.936726038154075 
1354	 0.832771060184805 
1355	-0.882984146680898 
1356	-1.8455131566639 
1357	-1.05630920890035 
1358	-3.88315896171704 
1359	-3.05603554109876 
1360	 0.288326767265478 
1361	-1.3565534916462 
1362	-2.18780116882811 
1363	-4.20627628626619 
1364	-9.46929147982933 
1365	-9.78405308855976 
1366	-8.31130381809522 
1367	-8.55977533683913 
1368	-8.97699461442552 
1369	-10.6090304585006 
1370	-11.4855752575407 
1371	-9.94438840543123 
1372	-5.25486491794912 
1373	-2.45468435333205 
1374	-2.43361922957135 
1375	-2.84306678555235 
1376	-5.86245896442023 
1377	-6.82174041457962 
1378	-4.96182293644932 
1379	-4.46260576592727 
1380	-2.98391361368729 
1381	-1.84218336989996 
1382	-3.27471455024506 
1383	-2.56184683205167 
1384	-1.47305541573558 
1385	-1.20322973531561 
1386	 0.400676870943362 
1387	 0.185995651904056 
1388	 0.313145213263678 
1389	 3.78415814588425 
1390	 5.116070316576 
1391	 5.78135162609382 
1392	 5.50155855554482 
1393	 3.34610942409106 
1394	 2.41574767008878 
1395	 1.05544776845539 
1396	 2.28897713058228 
1397	 4.39298519436733 
1398	 3.03403137576097 
1399	 0.61656902471393 
1400	-0.284112493240195 
1401	-3.92464898056662 
1402	-4.61902003770499 
1403	-4.88051629560636 
1404	-6.46280366097223 
1405	-4.42989757360326 
1406	-4.09347136426952 
