Wavelength	reference_blackPA00000.asd
555	 6441.32098378648 
556	 6497.17599113971 
557	 6551.99357417512 
558	 6604.79504316541 
559	 6651.83642057323 
560	 6697.16307425088 
561	 6742.62518438229 
562	 6783.69762016472 
563	 6816.99919333754 
564	 6842.72993047687 
565	 6864.67688272768 
566	 6881.62348844799 
567	 6893.05281060049 
568	 6898.42805215202 
569	 6896.56842638893 
570	 6887.50953165694 
571	 6873.34272707502 
572	 6862.01309599697 
573	 6847.24991748805 
574	 6826.64850731738 
575	 6802.23072654949 
576	 6771.43248110808 
577	 6735.23629545516 
578	 6695.82522444687 
579	 6649.36419308278 
580	 6601.48145667196 
581	 6556.62501369391 
582	 6507.59493319995 
583	 6469.11709046503 
584	 6441.77721436938 
585	 6403.77858373527 
586	 6364.88587340018 
587	 6325.70058954968 
588	 6283.80498447724 
589	 6248.9130638545 
590	 6220.09507660072 
591	 6195.48952438612 
592	 6181.30230952483 
593	 6173.01960637219 
594	 6166.36765149419 
595	 6156.31736689901 
596	 6157.45437064881 
597	 6174.44251442877 
598	 6205.24220334443 
599	 6235.338088221 
600	 6264.72798719829 
601	 6297.4318266464 
602	 6333.47445676936 
603	 6370.14104991466 
604	 6405.92568447068 
605	 6442.0584623439 
606	 6480.7882881412 
607	 6527.91386713704 
608	 6593.14459324419 
609	 6666.05451558724 
610	 6747.83140308303 
611	 6841.32767648815 
612	 6932.31720837387 
613	 7019.39506604758 
614	 7102.02252608275 
615	 7175.3682248773 
616	 7246.05392901056 
617	 7317.2618247069 
618	 7388.19295822298 
619	 7460.95790956203 
620	 7535.36591287906 
621	 7610.1991781297 
622	 7685.60109483433 
623	 7763.06264308138 
624	 7843.22855188612 
625	 7923.19125409478 
626	 8000.99245791761 
627	 8076.14720650569 
628	 8150.64624517476 
629	 8221.70181050708 
630	 8287.88780607152 
631	 8348.60368907371 
632	 8408.15699708075 
633	 8464.36217668507 
634	 8515.01852098895 
635	 8565.36995062327 
636	 8616.0532634574 
637	 8665.79093276357 
638	 8709.4608044098 
639	 8753.00434782356 
640	 8798.01097459873 
641	 8843.2487163348 
642	 8895.61505035154 
643	 8949.46153763828 
644	 8997.62161649792 
645	 9049.74903319772 
646	 9103.15974850956 
647	 9156.37887940247 
648	 9214.51251655909 
649	 9271.51240816197 
650	 9327.51854015536 
651	 9388.70433763359 
652	 9451.34980014663 
653	 9515.67818502292 
654	 9582.87388351366 
655	 9651.4660401501 
656	 9719.62493160376 
657	 9786.963939108 
658	 9857.28025897751 
659	 9930.41999515703 
660	 10005.8654337866 
661	 10082.6727803219 
662	 10160.2000315622 
663	 10237.9580739027 
664	 10315.6563572276 
665	 10393.8343775355 
666	 10472.1648979098 
667	 10551.3302541706 
668	 10636.4190577592 
669	 10724.9212829699 
670	 10814.579891335 
671	 10903.1490342795 
672	 10996.073499964 
673	 11091.7405543172 
674	 11185.004565731 
675	 11284.2632205461 
676	 11384.7564428682 
677	 11482.0362904447 
678	 11588.1117877334 
679	 11695.036688228 
680	 11798.8567260239 
681	 11905.2169384772 
682	 12011.1806978345 
683	 12117.1279711036 
684	 12225.5027150331 
685	 12336.0358224744 
686	 12448.390376171 
687	 12561.8100801224 
688	 12673.8051890718 
689	 12786.9661755829 
690	 12902.2564443555 
691	 13016.1045891612 
692	 13129.4724734668 
693	 13242.5133513107 
694	 13354.8897448576 
695	 13460.6798056771 
696	 13565.0460520823 
697	 13674.500762154 
698	 13776.9199039004 
699	 13877.3888231544 
700	 13978.664246932 
701	 14072.1794753245 
702	 14164.869594268 
703	 14256.5125525212 
704	 14339.6491575697 
705	 14426.8666282427 
706	 14511.8843665093 
707	 14584.0637236783 
708	 14657.9444561579 
709	 14731.2595973622 
710	 14800.6614857395 
711	 14866.3980259584 
712	 14927.3719877322 
713	 14984.651011762 
714	 15041.8497674958 
715	 15099.2462128456 
716	 15153.3650957369 
717	 15200.4864297192 
718	 15253.5136239048 
719	 15306.0459714484 
720	 15352.303832737 
