Wavelength	1mm_grayABS00000.asd
457	-0.314245972817953 
458	 0.175789799757985 
459	 1.0395439046046 
460	 1.53008774815363 
461	 1.29830568579863 
462	 0.420907469086075 
463	 0.929731602358515 
464	 1.96197410022307 
465	 1.0944764244148 
466	-0.36269281306492 
467	-0.808790217870181 
468	 0.481501325187572 
469	 0.484302957870736 
470	 0.485829741538898 
471	 1.10152678265789 
472	 1.94453766192913 
473	 1.04902555174541 
474	-0.153473505561137 
475	 1.11936779395729 
476	 0.553302677460968 
477	-0.149372770284693 
478	 0.535170863168607 
479	-0.482160531269177 
480	-1.45538062638316 
481	-1.4769307738878 
482	-0.739294139307853 
483	 8.21191834152754E-03 
484	 0.213223275684945 
485	-0.412728627739498 
486	-0.347615784064912 
487	 0.557703643749431 
488	 1.78746960019046 
489	 1.54396542316565 
490	 0.396406272799757 
491	-0.664787005106249 
492	 0.103843998361432 
493	-0.348467208321161 
494	-1.53174275374998 
495	-1.56441871529518 
496	-0.843442455948795 
497	-0.146778632655228 
498	-0.102816753563174 
499	-0.792176615692217 
500	-0.529985768615332 
501	 0.608356646332028 
502	 0.273710646651817 
503	-0.975486065257724 
504	-1.47584113671065 
505	 0.50482260389076 
506	-0.181890189649315 
507	-1.3042362078136 
508	-0.710335041959218 
509	-0.597611230597625 
510	-0.768905842170634 
511	-0.853619412905553 
512	-0.213293802168348 
513	 0.615609824735413 
514	 0.731466367657592 
515	-0.718469777660126 
516	-1.23858773993165 
517	-1.0656176604438 
518	-0.942761788844731 
519	-1.70992567797182 
520	-1.85235061509227 
521	-1.20504679365083 
522	-1.72834560151711 
523	-0.659218648131091 
524	 1.08502518069905 
525	 0.914631673409971 
526	-0.970164053540484 
527	-2.47052849935142 
528	-1.98243071885337 
529	-1.25034277847002 
530	-0.81495117133665 
531	-0.507809135149585 
532	 1.20738358615748 
533	 1.04608056575387 
534	-0.618931242095244 
535	-1.50751982252825 
536	-2.33432145590833 
537	-2.71029212919388 
538	-2.19684994025663 
539	-0.612755390226172 
540	-6.04374677792302E-02 
541	-1.11349144825108 
542	-1.56861209300096 
543	-1.81729442243126 
544	-1.54120843273771 
545	-0.200381148011449 
546	-0.861220872237663 
547	-2.01212954509759 
548	-1.53750092459923 
549	-0.586391019791697 
550	 9.65527442099841E-03 
551	-3.83515368923736E-02 
552	 8.79482315932063E-02 
553	-0.584383930351423 
554	-1.5333702443614 
555	-1.10987532792516 
556	-0.816730604789822 
557	-0.45071095782599 
558	 0.356299610783568 
559	-0.19865799953633 
560	-0.298373657384547 
561	 0.642810382686987 
562	-0.941783826435759 
563	-1.10030104150146 
564	 0.529194520420878 
565	 1.08121475620162 
566	 0.578492844507896 
567	-0.353576145330887 
568	-0.750742009390466 
569	-6.85906885232278E-02 
570	 0.475073266131029 
571	 0.183067551750151 
572	 0.734748239175805 
573	 0.266842628580312 
574	-1.250974476734 
575	-1.6333815891527 
576	-2.14716679251091 
577	-2.70288689661958 
578	-2.63560205524178 
579	-0.314714449977643 
580	 0.685408185172831 
581	-1.8362627395732 
582	-2.02166529221892 
583	-1.88004290573919 
584	-2.09720745935007 
585	-1.03609802827809 
586	-5.08516024056354E-03 
587	 0.48575018711107 
