Wavelength	reference_grayABS00000.asd
1107	 15667.8078036716 
1108	 15820.2904338832 
1109	 15976.177670381 
1110	 16135.2601987944 
1111	 16296.8952140857 
1112	 16462.3358947857 
1113	 16632.0260352992 
1114	 16804.4273280123 
1115	 16978.952323172 
1116	 17159.1130872223 
1117	 17343.5807004122 
1118	 17531.076462438 
1119	 17723.3036459722 
1120	 17918.4845288501 
1121	 18115.9266574341 
1122	 18317.9757997806 
1123	 18523.1270043683 
1124	 18733.8993810896 
1125	 18948.840780987 
1126	 19170.0658102946 
1127	 19392.326883167 
1128	 19621.9270225539 
1129	 19844.2575229998 
1130	 20066.577519838 
1131	 20286.6353103784 
1132	 20504.6938817299 
1133	 20720.3616142358 
1134	 20934.3853054668 
1135	 21147.296402596 
1136	 21357.2016540596 
1137	 21566.8915797092 
1138	 21777.9951130949 
1139	 21984.3145650194 
1140	 22188.5286479962 
1141	 22389.1673452718 
1142	 22584.1322131704 
1143	 22780.2559991286 
1144	 22976.0431927481 
1145	 23168.3864176321 
1146	 23361.3239078422 
1147	 23549.4689816686 
1148	 23733.752648837 
1149	 23912.7709036849 
1150	 24091.5974682928 
1151	 24268.2107793002 
1152	 24441.5573533173 
1153	 24614.9160488046 
1154	 24779.6413932144 
1155	 24939.1653524118 
1156	 25094.487937124 
1157	 25242.1986377713 
1158	 25389.7529843266 
1159	 25537.3105209396 
1160	 25676.2433654689 
1161	 25812.3528534175 
1162	 25940.2191264621 
1163	 26057.5655353873 
1164	 26173.877517936 
1165	 26286.8766599081 
1166	 26393.583515088 
1167	 26495.0402216775 
1168	 26593.3997521032 
1169	 26688.1076603001 
1170	 26774.8314020616 
1171	 26859.7304179588 
1172	 26942.7760873393 
1173	 27019.9120092381 
1174	 27090.6953005769 
1175	 27160.4729744272 
1176	 27227.0534128041 
1177	 27290.1482447725 
1178	 27350.7452629035 
1179	 27406.8752228014 
1180	 27456.3988978197 
1181	 27508.4519848491 
1182	 27558.7353914452 
1183	 27607.7248199297 
1184	 27659.076976358 
1185	 27704.9857653949 
1186	 27745.3946506191 
1187	 27786.1178614035 
1188	 27823.2308358964 
1189	 27861.6993745533 
1190	 27900.9043988277 
1191	 27938.2584967777 
1192	 27976.6095943859 
1193	 28018.3049096649 
1194	 28054.0241401513 
1195	 28088.3620630107 
1196	 28120.4127369877 
1197	 28149.0984618668 
1198	 28174.9050667591 
1199	 28199.1412303518 
1200	 28220.7907181602 
1201	 28239.4476706017 
1202	 28255.7103362683 
1203	 28269.7057536483 
1204	 28281.4302420369 
1205	 28289.214164235 
1206	 28296.4796239542 
1207	 28303.1408058339 
1208	 28307.8300263274 
1209	 28309.6447511418 
1210	 28310.958103141 
1211	 28311.1011579753 
1212	 28309.1637729337 
1213	 28307.1085790552 
1214	 28306.8556794628 
1215	 28306.1246847764 
1216	 28304.689250517 
1217	 28304.4626104775 
1218	 28302.4333238007 
1219	 28297.0312540246 
1220	 28292.4852680433 
1221	 28288.4100669883 
1222	 28282.1032636545 
1223	 28279.5665293045 
1224	 28280.9059804452 
1225	 28279.3306346193 
1226	 28279.0182595503 
1227	 28275.7056832266 
1228	 28267.5722472749 
1229	 28263.9355582243 
1230	 28259.7562103105 
1231	 28258.7202403059 
1232	 28262.3794902788 
1233	 28265.2051659238 
1234	 28269.8944067897 
1235	 28273.8105372184 
1236	 28278.9071761762 
1237	 28279.7109740444 
1238	 28282.8940440616 
1239	 28287.3059631471 
1240	 28294.0337880123 
1241	 28304.6306824345 
1242	 28317.0463231866 
1243	 28328.628644265 
1244	 28336.6432191706 
1245	 28350.9919455302 
1246	 28369.1062156195 
1247	 28389.2261617494 
1248	 28414.6580987492 
1249	 28436.8736981903 
1250	 28460.7171006314 
1251	 28483.2849079991 
1252	 28508.9985164316 
1253	 28538.562666611 
1254	 28566.2923861439 
1255	 28592.7401255006 
1256	 28622.2648770823 
1257	 28652.1724258161 
1258	 28683.0240500364 
1259	 28720.1761217488 
1260	 28751.4893198487 
1261	 28780.2791206884 
1262	 28807.7664859829 
1263	 28833.1333503747 
1264	 28856.4849021134 
1265	 28878.3718107609 
