Wavelength	Reference_GrayPLA00000.asd
716	 15708.4851643149 
717	 15760.2536311148 
718	 15813.2000675951 
719	 15864.9017800752 
720	 15913.0590192068 
721	 15958.7722802411 
722	 15999.2589992171 
723	 16036.7804208504 
724	 16080.3981769148 
725	 16123.7333837693 
726	 16167.5007656162 
727	 16214.147492462 
728	 16254.0062761038 
729	 16293.0384868592 
730	 16336.016658181 
731	 16373.916225495 
732	 16416.8775553501 
733	 16465.1114344656 
734	 16505.3327302484 
735	 16542.9508043755 
736	 16578.4502661478 
737	 16610.7262257576 
738	 16638.9324626938 
739	 16664.35289584 
740	 16688.425412659 
741	 16711.5701375868 
742	 16735.0404055258 
743	 16757.4384943233 
744	 16773.18433751 
745	 16791.6614529433 
746	 16808.4801417664 
747	 16814.8160073851 
748	 16826.6958714576 
749	 16838.4097151262 
750	 16843.7755854763 
751	 16847.5537229405 
752	 16848.5816743422 
753	 16847.2198863451 
754	 16846.0001754402 
755	 16843.3018516632 
756	 16837.4069875094 
757	 16825.9464997921 
758	 16803.3040364772 
759	 16769.474082529 
760	 16731.7085981947 
761	 16717.3172270337 
762	 16707.779143067 
763	 16694.6783462903 
764	 16681.1490269081 
765	 16667.4921905297 
766	 16651.1628959301 
767	 16628.4042409751 
768	 16596.0519852034 
769	 16563.3038938307 
770	 16535.279368975 
771	 16500.7159597888 
772	 16464.802112143 
773	 16429.3568625436 
774	 16393.0157469174 
775	 16354.884828433 
776	 16315.6289191262 
777	 16276.0634387984 
778	 16233.928233878 
779	 16186.8721181553 
780	 16135.1838387365 
781	 16085.3569375874 
782	 16035.5661559684 
783	 15983.9112991951 
784	 15928.1125594646 
785	 15871.4955598476 
786	 15813.5461291482 
787	 15753.7438804095 
788	 15698.673613691 
789	 15639.7571686137 
790	 15575.0685022532 
791	 15519.70576352 
792	 15457.6925959923 
793	 15387.411173019 
794	 15315.980045778 
795	 15244.8424681468 
796	 15174.5287851966 
797	 15105.0467934816 
798	 15036.6286385055 
799	 14967.7742831689 
800	 14897.47926381 
801	 14825.4005200607 
802	 14752.1387592826 
803	 14680.4930540119 
804	 14613.6733242472 
805	 14545.7543017352 
806	 14474.715032249 
807	 14399.8508165089 
808	 14321.4819693748 
809	 14244.1021022554 
810	 14168.7784229352 
811	 14092.8328979172 
812	 14020.002409158 
813	 13945.8960587187 
814	 13865.5805610977 
815	 13790.8990378905 
816	 13715.3775876705 
817	 13636.1777027967 
818	 13563.2693915159 
819	 13486.7566710071 
820	 13405.8096509739 
821	 13325.3440429461 
822	 13240.6800988189 
823	 13155.3126776595 
824	 13073.4041007439 
825	 12993.8193141093 
826	 12916.6552039175 
827	 12841.7487615508 
828	 12769.2147994317 
829	 12689.7873223188 
830	 12603.6645840997 
831	 12514.5063574943 
832	 12415.0364923125 
833	 12314.8946369093 
834	 12221.2607926256 
835	 12128.4103224116 
836	 12046.4314243822 
837	 11976.1543104998 
838	 11911.0239172532 
839	 11857.3672016787 
840	 11807.835838833 
841	 11753.2698544694 
