Wavelength	4mm_GrayPLA00000.asd
648	-0.68626896664136 
649	-1.3214575191756 
650	-0.814030565696269 
651	-0.66480316109624 
652	-0.338623938584029 
653	-4.07608958508802E-02 
654	-0.210320619468346 
655	-1.54961301170263 
656	-1.49689387087378 
657	 0.847264701636528 
658	-0.312634453013238 
659	-0.516282466042157 
660	 0.856741681954675 
661	-0.625761547911737 
662	-1.41771129000123 
663	-1.04667082949164 
664	-0.356430851068309 
665	-0.656898653515772 
666	-1.02456991702086 
667	-0.718183003689377 
668	-1.61387756859995 
669	-1.74695040893498 
670	-0.81842225889869 
671	-1.51188692508492 
672	-1.54610284947184 
673	-0.920730723678649 
674	-0.745512589512666 
675	-0.436816131439668 
676	-0.256261209741371 
677	-0.543623696128181 
678	-1.39752937344 
679	-1.25949226383541 
680	-0.032845333015412 
681	-0.815817808615602 
682	-0.544990650694611 
683	 0.313919808364886 
684	-0.964665284581607 
685	-0.87783368403341 
686	-0.448541751534515 
687	-1.28586135811366 
688	-0.981763124525986 
689	-0.308864355595028 
690	 0.152461356719741 
691	 0.938398848102436 
692	 1.1829804251548 
693	 0.4585885765528 
694	-1.35018734574897 
695	-1.38997729394661 
696	-0.636833314678906 
697	-1.06133486858893 
698	-2.03013831727345 
699	-2.00093964964975 
700	-0.549817306262982 
701	-0.546661140035958 
702	 0.83740058183853 
703	 2.80719662198327 
704	 0.841197294938604 
705	-0.351877918249404 
706	-0.727364652004115 
707	-1.5207162020213 
708	-0.50589781160926 
709	 0.417506528798718 
710	-5.39133467481516E-02 
711	-4.55537763708106E-02 
712	 0.347189113565806 
713	 0.506535115463712 
714	-0.970577183335365 
715	-1.34395515471079 
716	-0.768194872492404 
717	-0.551916703689558 
718	-1.33411258070167 
719	-1.31000586232955 
720	 0.225210135179354 
721	-0.867320601034932 
722	-1.66493373941466 
723	-1.11286332656336 
724	-0.357473750331338 
725	-0.516498453347428 
726	-1.13639700264233 
727	-1.13478892766118 
728	-1.78369170979449 
729	-1.7537287907898 
730	-0.460870607675395 
731	-1.36626341762965 
732	-1.51945589005503 
733	-0.041564737078847 
734	 1.36948393271118 
735	 0.569894787572504 
736	-1.318235634588 
737	-1.72637118990946 
738	-1.92060812165846 
739	-1.83389026821068 
740	-1.28003326325043 
741	-5.05546116437129E-02 
742	 9.81377716954764E-02 
743	-0.840127813491156 
744	-0.419954043382865 
745	-0.544069596598694 
746	-1.07981104004804 
747	-1.20161935461986 
748	-2.29810925990003 
749	-2.6853138961221 
750	-1.35395474382002 
751	-1.21586181300144 
752	-0.982511388786784 
753	-0.481970710391593 
754	-1.10201631346014 
755	-1.41636171366043 
756	-1.5958735699274 
757	-2.26021362275461 
758	-1.44728374720585 
759	-0.635042051245998 
760	-0.939870698719458 
761	-0.540585962510094 
762	-0.680111063023164 
763	-1.44583854731218 
764	-1.58588551606876 
765	-0.321722045646281 
766	 0.785917410026911 
767	-0.43853242865323 
768	-1.75169122400758 
769	-2.39111525165501 
770	-2.07088267768198 
771	-0.886987573793637 
772	-1.32075393920451 
773	-2.67045448399134 
774	-0.792626145483846 
775	-0.620038636420528 
776	-1.75233082488422 
777	-2.10523737273816 
778	-1.16292602503525 
779	-0.712962555839276 
780	-1.57491931563792 
781	-1.62859834422911 
782	-1.15462457615561 
783	-0.776259587668537 
784	-1.49516840868437 
785	-0.391949321607705 
786	 0.516419298089937 
787	-1.10729204349093 
788	-0.451843717225833 
789	-0.642089524177632 
790	-2.59018670190225 
791	-1.24821155470201 
792	-0.659020574388524 
793	-1.4887214071621 
794	-2.35524270574665 
795	-0.656472190002816 
796	 0.979834273428541 
797	-9.58006443970175E-02 
798	-1.05689408448218 
799	-1.67562863327885 
800	-1.93386427006828 
801	-1.90100086396932 
802	-2.10763257471514 
803	-2.53221251505422 
804	-2.79163995330325 
805	-1.68873773984512 
806	-0.908504063117657 
807	-1.45591784819548 
808	-0.431320389562022 
809	-1.20196521807137 
810	-2.96904418734571 
811	-0.227317317037914 
812	 0.42645385411262 
813	-0.61575583833462 
814	-0.955427422800277 
815	-1.47282027965824 
816	-1.92256753885733 
817	-1.93421042962044 
818	-0.839733806186397 
819	-0.237473839616066 
