Wavelength	Reference_BluePLA00000.asd
510	 3330.38677373188 
511	 3397.11334641919 
512	 3463.21317035922 
513	 3534.11164578631 
514	 3607.79642778092 
515	 3679.36551152296 
516	 3754.26246015346 
517	 3830.04770556851 
518	 3904.258126079 
519	 3978.72800031228 
520	 4054.88550060618 
521	 4133.23811460265 
522	 4213.30674103302 
523	 4292.43374697467 
524	 4371.31157580663 
525	 4452.16504694567 
526	 4532.79723375476 
527	 4614.06754701272 
528	 4696.27964864015 
529	 4775.01948357444 
530	 4855.27154716145 
531	 4938.25830627333 
532	 5018.92215365268 
533	 5099.33266539254 
534	 5179.09305688519 
535	 5256.95005512544 
536	 5336.66193259455 
537	 5415.61830476094 
538	 5491.10063097296 
539	 5566.05095435898 
540	 5641.14002620806 
541	 5716.0449556823 
542	 5788.51917796089 
543	 5862.15979881505 
544	 5936.05048521718 
545	 6006.52270986054 
546	 6073.89288725495 
547	 6142.10894226121 
548	 6214.03160052824 
549	 6281.70490715219 
550	 6347.27567369784 
551	 6412.14950194376 
552	 6474.45397713837 
553	 6537.28375070865 
554	 6599.76083325808 
555	 6658.02148028332 
556	 6716.3853409567 
557	 6772.90390325816 
558	 6824.67354749202 
559	 6874.71493027111 
560	 6923.14477517023 
561	 6969.06438939507 
562	 7010.20169013668 
563	 7044.66791921487 
564	 7071.73321150093 
565	 7091.72906266931 
566	 7108.20845361948 
567	 7119.90281141604 
568	 7124.00523246454 
569	 7121.05004464649 
570	 7112.14721035686 
571	 7099.48107246698 
572	 7089.09752313498 
573	 7071.23892658879 
574	 7045.0178592099 
575	 7020.32837128814 
576	 6989.10837181052 
577	 6952.36345587711 
578	 6913.89371361509 
579	 6865.22768625395 
580	 6814.05260874134 
581	 6767.73727938023 
582	 6721.78710928494 
583	 6681.89692421798 
584	 6647.4522587586 
585	 6607.63286985381 
586	 6568.3159838177 
587	 6529.20889965715 
588	 6487.78843253893 
589	 6451.40581974979 
590	 6420.19393346403 
591	 6394.05917420893 
592	 6380.50074823193 
593	 6372.07157241857 
594	 6363.82227265869 
595	 6355.09953094251 
596	 6355.77118751605 
597	 6370.60278416722 
598	 6400.80242074107 
599	 6431.8381770411 
600	 6461.85155835862 
601	 6493.59277747811 
602	 6533.78558983273 
603	 6573.58702950834 
604	 6608.35729923033 
605	 6645.61291118007 
606	 6686.23709295557 
607	 6734.67458913186 
608	 6798.81813519955 
609	 6875.00487137593 
610	 6961.02889303745 
611	 7054.02493235061 
612	 7147.38565190741 
613	 7237.43848036104 
614	 7321.6439262492 
615	 7397.69144556812 
616	 7472.22522710629 
617	 7546.80623273045 
618	 7616.4840279593 
619	 7689.3322704637 
620	 7766.05693221552 
621	 7844.1169718754 
622	 7922.37881873286 
623	 8002.43770739162 
624	 8085.08382362197 
625	 8166.27610681031 
626	 8246.21591315142 
627	 8324.59262150246 
628	 8400.21430379572 
629	 8471.39390688833 
630	 8538.41081854795 
631	 8602.82703456617 
632	 8665.82907170741 
633	 8723.62369778073 
634	 8773.85755258104 
635	 8826.92428556539 
636	 8879.8137364982 
637	 8929.73091014464 
638	 8975.42785347224 
639	 9020.52104756212 
640	 9066.82485134091 
641	 9115.02708244383 
642	 9167.54308356673 
643	 9220.36449042427 
644	 9269.36853300757 
645	 9323.54795869336 
646	 9379.23127401261 
647	 9434.33499093137 
648	 9494.63034989604 
649	 9552.0367768383 
650	 9607.39366458677 
651	 9670.37797060739 
652	 9734.37053843394 
653	 9800.84157451811 
654	 9872.83665873475 
655	 9942.8507006952 
656	 10011.2973518722 
657	 10080.1507282337 
658	 10152.2316930098 
659	 10227.1336104873 
660	 10304.1957887278 
661	 10382.4188507046 
662	 10461.725892652 
663	 10541.3322450983 
664	 10620.3066055254 
665	 10699.4729434783 
666	 10780.322832528 
667	 10864.133258338 
668	 10950.9185298861 
669	 11040.6356727817 
670	 11132.716802317 
671	 11225.6249807996 
672	 11320.515826721 
673	 11416.9939960982 
674	 11514.0018048993 
675	 11614.2571072112 
676	 11715.7112257042 
677	 11816.9081763403 
678	 11925.0455080247 
679	 12033.1731947331 
680	 12138.5085943791 
