Wavelength	Reference_BlackPLA00000.asd
510	 3268.0156989643 
511	 3334.03225962672 
512	 3400.24551169213 
513	 3470.46401521592 
514	 3542.75684751728 
515	 3612.9919702231 
516	 3685.35422785115 
517	 3759.39205640185 
518	 3834.01320501112 
519	 3908.55432168264 
520	 3984.23508369459 
521	 4061.58518845048 
522	 4140.41803502179 
523	 4217.83859908179 
524	 4294.21141634769 
525	 4371.65870902385 
526	 4452.11807241926 
527	 4532.90368889254 
528	 4611.73958084935 
529	 4691.81533507364 
530	 4771.19424492389 
531	 4849.7847822568 
532	 4931.1549442955 
533	 5009.14028390213 
534	 5085.6484566608 
535	 5166.50999359891 
536	 5245.87657228146 
537	 5322.33325808338 
538	 5396.06732847978 
539	 5469.85299874318 
540	 5543.1151909156 
541	 5615.89327894852 
542	 5689.96773725131 
543	 5762.60533436475 
544	 5833.48252640436 
545	 5903.6835848115 
546	 5972.82578744433 
547	 6041.57558750585 
548	 6110.34076862652 
549	 6177.15755758348 
550	 6241.99348627444 
551	 6305.15159864145 
552	 6367.18829548118 
553	 6428.95371917756 
554	 6489.94996552508 
555	 6548.57949215709 
556	 6605.68500571465 
557	 6660.40092386535 
558	 6711.83620418326 
559	 6761.8959163193 
560	 6810.58434528594 
561	 6856.54410494727 
562	 6895.56528657252 
563	 6929.39144785357 
564	 6957.63272766954 
565	 6977.944718245 
566	 6994.80816195753 
567	 7005.90871031426 
568	 7007.52636061691 
569	 7005.62331840588 
570	 6998.12596031517 
571	 6984.49895777755 
572	 6972.19903487492 
573	 6955.18174577526 
574	 6932.55148520716 
575	 6909.80315167637 
576	 6878.83279392188 
577	 6841.42414511364 
578	 6802.9012088432 
579	 6757.1856840372 
580	 6707.6186246966 
581	 6658.69751123493 
582	 6612.19095679974 
583	 6574.43882079794 
584	 6543.72198227967 
585	 6505.65853525436 
586	 6465.98914008789 
587	 6426.12922223264 
588	 6386.3693153028 
589	 6350.42451758917 
590	 6319.43884630388 
591	 6294.60227651318 
592	 6281.23688038868 
593	 6272.71002422321 
594	 6264.46138033756 
595	 6254.85748240211 
596	 6256.43057736013 
597	 6273.38564872035 
598	 6304.116236408 
599	 6334.23573871299 
600	 6363.80179395089 
601	 6396.99585674827 
602	 6435.23271922259 
603	 6472.17032698596 
604	 6505.66050794834 
605	 6544.75190456564 
606	 6585.12899273267 
607	 6631.15537478572 
608	 6695.3572363705 
609	 6769.57835547538 
610	 6853.48259101156 
611	 6947.3653199302 
612	 7039.5434512391 
613	 7128.01670926026 
614	 7211.81142294289 
615	 7287.44728669785 
616	 7360.26121681459 
617	 7432.4345901449 
618	 7502.16510335171 
