Wavelength	4mm_BlackABS00000.asd
456	-1.85779331312107 
457	-1.50452196685699 
458	-0.799166818058421 
459	 1.27958878512373 
460	 2.00528020345883 
461	 0.420534401973128 
462	-1.55681589190684 
463	-0.574654434546858 
464	 1.04972352165359 
465	-1.90676912689121 
466	-1.91684908199842 
467	-0.405677764838827 
468	 9.23662611550416E-02 
469	 0.205635685893884 
470	 0.456591850858387 
471	 0.645978998133404 
472	-0.743510401708782 
473	-0.921913424253584 
474	-0.384885165509136 
475	-1.04858756990335 
476	-1.32411572497997 
477	-1.84349831232955 
478	-2.78140793899077 
479	-1.13979571883966 
480	 0.270489191032875 
481	 0.127612195410215 
482	-1.03206751261268 
483	-0.956094909065014 
484	 4.65295513580451E-02 
485	 0.398909499816601 
486	-1.23306890244595 
487	-1.55654416651118 
488	 1.00633688728852 
489	-0.285619837996656 
490	-2.44285761640084 
491	-3.29840688799821 
492	-1.44411728520403 
493	-0.892366472497311 
494	-1.59639110589142 
495	-1.73389847979647 
496	-0.233873076657491 
497	 0.660930631052016 
498	-0.518114930203822 
499	-1.04120527397685 
500	-1.06853107527769 
501	-0.661936586726637 
502	 0.384119730194091 
503	 9.25128276876732E-02 
504	-0.571498175099671 
505	 0.29198502371199 
506	-1.02586234388488 
507	-1.81750781245078 
508	-0.227199260739008 
509	-0.699900351208524 
510	-1.26813534901259 
511	-1.00330360230659 
512	-0.187729627426257 
513	-1.2276855483064 
514	-2.79502702031293 
515	-2.09073521690722 
516	-1.49394716028106 
517	-1.60885987485916 
518	-2.1988151251665 
519	-0.839277569226463 
520	-0.929527128706541 
521	-2.76286613206319 
522	-1.98325030547227 
523	-1.44981469684588 
524	-1.25441494473632 
525	-0.527924985772785 
526	-1.65419135890991 
527	-2.93200681955204 
528	-2.72477793391364 
529	-2.90671290588768 
530	-1.80335853560645 
531	 0.291047115523457 
532	-0.373822274206373 
533	-1.46808035155793 
534	-2.06198895733371 
535	-1.81200782743595 
536	-2.11628239687517 
537	-2.00543775764325 
538	-0.714331057316957 
539	-0.633731617331596 
540	-0.968983415285173 
541	-1.388713870426 
542	-3.08137391437776 
543	-2.0148396247284 
544	 0.530619904264559 
545	-2.71294887060276E-02 
546	-1.16822939502674 
547	-2.09701650813587 
548	-2.48108545917822 
549	-2.73489811436417 
550	-2.40195068493753 
551	-1.47239512564821 
552	-0.884322967504336 
553	-0.902793669222638 
554	-1.48788946577248 
555	-2.30800204854073 
556	-3.83545808823828 
557	-4.18323479024775 
558	-1.71160044135731 
559	-0.78408310665626 
560	-0.686957935550494 
561	-0.499092549167893 
562	 0.104600929043009 
563	-0.37996050103183 
564	-1.47374269300876 
565	-0.740880621463992 
566	-1.48310315434653 
567	-2.57781349520736 
568	-1.86819421976467 
569	-2.2236429995177 
570	-2.68805829888707 
571	-2.25474456543433 
572	-0.990837999941672 
573	-0.445768815741038 
574	-0.751890048970597 
575	-0.306575181435248 
576	-0.424996929688704 
577	-1.33300302631199 
578	-2.68598263239379 
579	-2.73763709693158 
580	-1.65801769956595 
581	-0.393091279824675 
582	-1.46044239685723 
583	-2.11001954118452 
584	-1.54352424895736 
585	-2.14973646542922 
586	-1.68498373907216 
587	-1.19637683082661 
588	-3.16896977361845 
589	-3.1406949345485 
590	-2.02482506255644 
591	-1.64673233654174 
592	-2.36676018079796 
593	-2.88600159362165 
594	-2.48049850578184 
595	-1.46763076584198 
596	-0.716326652060501 
597	-0.917708561298671 
598	-2.59165283744719 
599	-1.89987736644291 
600	-0.794189522728325 
601	-1.82570072663802 
602	-0.204752550277398 
603	 0.578900366788873 
604	-1.29278878173461 
605	-2.18382091000821 
606	-3.20471382084986 
607	-3.67470865681188 
608	-1.25244863732014 
609	-0.506986542136874 
610	-1.45106403093626 
611	-2.48130819678695 
612	-2.92441480048383 
613	-2.78661770719301 
614	-2.25268050792813 
615	-1.4798563866017 
616	-1.22443756998602 
617	-1.60480132767789 
618	-1.96578738087734 
619	-2.59718437915129 
620	-3.26057114825799 
621	-3.4928357396145 
622	-2.96093910709001 
623	-1.80833079917963 
624	-0.685188494043584 
625	-1.97150494459336 
626	-2.60562399279869 
627	-1.84863413805879 
628	-3.09483488813875 
629	-3.06887429689779 
630	-1.84057583926114 
631	-1.22898311295023 
632	-1.73980850166048 
633	-2.4175439810454 
634	-2.25433200542289 
635	-2.13443345899687 
636	-1.62957070106737 
637	-0.795253412589901 
638	-0.702452156278922 
639	-2.13170072746619 
640	-3.85704647516326 
641	-3.00897902265901 
642	-2.34248200017242 
643	-1.69539310332858 
644	-0.471438389714564 
645	-0.644809649551075 
646	-1.34220638591424 
647	-1.95157003783615 
648	-3.58803810856922 
649	-3.10338181842559 
650	-1.02579518741854 
651	-1.62647612365907 
652	-0.432008652459962 
653	 0.361607127924791 
654	-2.81799138635309 
655	-3.32107779394041 
656	-2.84977225543405 
657	-3.06250686262458 
658	-1.47575997380952 
659	-0.591539207153275 
660	-1.41415434835033 
661	-3.37649584254145 
662	-2.8882534250094 
663	-1.3598628049346 
664	-2.3195393774737 
665	-3.03095408860444 
666	-3.1077915672626 
667	-2.71244508622136 
668	-2.46643270973543 
669	-2.45626415755474 
670	-2.63145478424362 
671	-2.87895954376178 
672	-1.9284730237935 
673	-0.760235173811389 
674	-1.58078107367864 
