Wavelength	Reference_BlackABS00000.asd
542	 5778.50419734395 
543	 5852.71850567153 
544	 5926.59048751441 
545	 5995.33081362391 
546	 6063.81787139944 
547	 6132.98832084349 
548	 6202.41102459917 
549	 6269.83953405867 
550	 6335.74313021882 
551	 6400.48108725485 
552	 6463.61695855514 
553	 6526.51267394868 
554	 6588.43079165765 
555	 6647.00123041483 
556	 6703.01966473258 
557	 6758.01989036035 
558	 6812.87435655622 
559	 6862.01433471196 
560	 6910.24109303157 
561	 6958.82027982808 
562	 6998.14422468636 
563	 7031.29232078526 
564	 7059.40567910686 
565	 7082.27827074482 
566	 7098.85080937292 
567	 7108.78916727258 
568	 7112.10944990187 
569	 7109.15028179971 
570	 7100.011302822 
571	 7086.41302791469 
572	 7075.75075445858 
573	 7059.25972347413 
574	 7035.41938329577 
575	 7011.51343508304 
576	 6979.45662995978 
577	 6940.39621764025 
578	 6899.03556876699 
579	 6853.51867574227 
580	 6805.72787498859 
581	 6757.70259383236 
582	 6708.6430038712 
583	 6668.99814204729 
584	 6637.9665547222 
585	 6596.6141861777 
586	 6557.36992418078 
587	 6519.1680826678 
588	 6475.50965047869 
589	 6439.45564797873 
590	 6409.62684075979 
591	 6383.33042674351 
592	 6367.69214481936 
593	 6358.62204286255 
594	 6352.05203932778 
595	 6343.09498477548 
596	 6344.36492626179 
597	 6360.54037383946 
598	 6391.01444635252 
599	 6422.51686182126 
600	 6452.89440258789 
601	 6484.46457510448 
602	 6525.41397200732 
603	 6564.46800764863 
604	 6596.5305480783 
605	 6634.3801664538 
606	 6674.06713542649 
607	 6720.97946629801 
608	 6789.33257330383 
609	 6865.63720092912 
610	 6949.26054193551 
611	 7042.20002451859 
612	 7134.70445854347 
613	 7224.51321424746 
614	 7309.94703264313 
615	 7386.61727959667 
616	 7460.2453556182 
617	 7533.01024810491 
618	 7602.57791577048 
619	 7675.97754798321 
620	 7752.94545334223 
621	 7830.04496813739 
622	 7908.04259532882 
623	 7988.58510537657 
624	 8071.95250033465 
625	 8152.87964793219 
626	 8231.9981578257 
627	 8309.56949242749 
628	 8385.11342790447 
629	 8457.65715096944 
630	 8526.10349884215 
631	 8589.45687929678 
632	 8651.73223477505 
633	 8709.32608054534 
634	 8759.60895832869 
635	 8813.72383290398 
636	 8866.37064085369 
637	 8914.41661821909 
638	 8960.6100168795 
639	 9006.55464000938 
640	 9052.47385331507 
641	 9097.51729318003 
642	 9151.42675949924 
643	 9207.56021701738 
644	 9256.88479137591 
645	 9309.79101344314 
646	 9364.86133830581 
647	 9420.57864795069 
648	 9478.36971692904 
649	 9535.36459134364 
650	 9592.80127551977 
651	 9656.15806549184 
652	 9720.52970480419 
653	 9786.89487970931 
654	 9857.497517494 
655	 9927.26606295941 
656	 9996.25898403451 
657	 10065.678193186 
658	 10137.6106483303 
659	 10212.0985026733 
660	 10288.5436718332 
661	 10365.3130529894 
662	 10445.6229571876 
663	 10527.2815707339 
664	 10606.0299912715 
665	 10685.7001507816 
666	 10766.4086236057 
667	 10848.486849483 
668	 10935.6424385008 
669	 11025.6543109745 
670	 11116.7491628118 
671	 11207.4390031851 
672	 11303.0537583002 
673	 11401.5514210209 
674	 11497.1068304416 
675	 11598.0852180204 
676	 11700.391837438 
677	 11800.080788604 
678	 11908.0802064016 
679	 12016.2770373158 
680	 12121.4002692562 
681	 12231.6934040557 
682	 12340.8088958869 
683	 12449.1054032902 
684	 12561.1806215269 
685	 12674.2282942238 
686	 12788.2200369586 
687	 12903.40416646 
688	 13017.6109516214 
689	 13132.8457389767 
690	 13250.1937145266 
691	 13368.5647745603 
692	 13483.5853136345 
693	 13596.3662539527 
694	 13712.8708998686 
695	 13821.4759924337 
696	 13926.411835829 
697	 14035.3897539244 
698	 14142.3290547539 
699	 14246.5323326886 
700	 14347.5898898311 
701	 14443.9541313218 
702	 14538.8356996561 
703	 14631.6920256959 
704	 14718.0451022886 
705	 14805.8939578398 
706	 14890.3137691554 
707	 14963.9064053597 
708	 15041.1189762151 
709	 15116.4112558504 
710	 15184.725587976 
711	 15250.0123563464 
712	 15311.6846555084 
713	 15370.7245063473 
714	 15430.1285912798 
715	 15485.7437213021 
716	 15537.6517343392 
717	 15588.0898395799 
718	 15643.6092898171 
719	 15695.900684286 
720	 15739.4230839557 
721	 15784.7259618152 
722	 15826.5119610281 
723	 15864.8065291832 
724	 15906.4198978446 
725	 15949.3453133166 
726	 15993.8284954572 
727	 16040.0235648603 
728	 16079.9993182046 
729	 16119.4671249258 
730	 16162.6386018048 
731	 16199.9668388352 
732	 16241.3316161243 
733	 16288.0856384488 
734	 16330.3300587228 
735	 16368.4666948239 
736	 16403.4573314813 
737	 16436.7043739085 
738	 16463.9351263048 
739	 16488.4980294024 
740	 16513.5424199427 
741	 16537.0577338773 
742	 16559.5573909491 
743	 16580.4408227357 
744	 16597.1645673073 
745	 16616.1626875716 
746	 16632.9572922239 
747	 16639.8114519995 
748	 16653.4688383739 
749	 16665.7260374898 
750	 16669.0932822272 
751	 16672.7576519556 
